date,media,article_id,category,subcategory,page_views
20260816,Digmedia,309894,ES,es,4
20260816,Digmedia,309895,ES,es,1
20260816,Digmedia,309911,ES,gakuchika,1
20260816,Digmedia,309915,面接,軸（業界）,1
20260816,Digmedia,309916,面接,軸（その他）,2
20260816,Digmedia,309936,テスト,test,16
20260816,Digmedia,309938,3年生,Internship,1
20260816,Digmedia,309941,ALL,all,1
20260816,Digmedia,309960,ALL,all,1
20260816,Digmedia,309992,ES,es,1
20260816,Digmedia,310002,ES,es,1
20260816,Digmedia,310024,ES,gakuchika,1
20260816,Digmedia,310028,志望動機,理系,4
20260816,Digmedia,310058,志望動機,理系,5
20260816,Digmedia,310062,志望動機,理系,1
20260816,Digmedia,310063,志望動機,業界,2
20260816,Digmedia,310079,志望動機,志望動機,4
20260816,Digmedia,310122,志望動機,志望動機,1
20260816,Digmedia,310144,志望動機,理系,8
20260816,Digmedia,310149,志望動機,理系,1
20260816,Digmedia,310157,志望動機,理系,1
20260816,Digmedia,310158,志望動機,理系,2
20260816,Digmedia,310164,志望動機,理系,1
20260816,Digmedia,310166,志望動機,理系,1
20260816,Digmedia,310171,志望動機,理系,1
20260816,Digmedia,310173,志望動機,理系,5
20260816,Digmedia,310177,志望動機,理系,4
20260816,Digmedia,310178,志望動機,理系,1
20260816,Digmedia,310183,志望動機,理系,1
20260816,Digmedia,310190,志望動機,理系,1
20260816,Digmedia,310192,志望動機,理系,2
20260816,Digmedia,310201,志望動機,理系,3
20260816,Digmedia,310203,志望動機,理系,1
20260816,Digmedia,310209,志望動機,理系,1
20260816,Digmedia,310214,志望動機,理系,2
20260816,Digmedia,310217,志望動機,理系,1
20260816,Digmedia,310234,志望動機,理系,1
20260816,Digmedia,310235,志望動機,理系,3
20260816,Digmedia,310239,志望動機,理系,2
20260816,Digmedia,310241,志望動機,就活以外,2
20260816,Digmedia,310242,志望動機,理系,4
20260816,Digmedia,310243,志望動機,理系,1
20260816,Digmedia,310251,志望動機,理系,1
20260816,Digmedia,310252,志望動機,就活以外,13
20260816,Digmedia,310254,志望動機,理系,4
20260816,Digmedia,310256,ES,gakuchika,1
20260816,Digmedia,310259,志望動機,理系,1
20260816,Digmedia,310263,志望動機,理系,2
